"RaceYearId","Event","Race","City","Country","Date","StartTime","Participation","Distance","ElevationGain","ElevationLoss","AidStations","Participants","lat","lon"
68140,"Peak District Ultras","Millstone 100","Castleton","United Kingdom","2021-09-03","19:00:00","solo",166.9,4520,-4520,10,150,53.3436814,-1.7765105
72496,"UTMB®","UTMB®","Chamonix","France","2021-08-27","17:00:00","Solo",170.7,9930,-9930,11,2300,45.923697,6.869433
69855,"Grand Raid des Pyrénées","Ultra Tour 160","vielle-Aure","France","2021-08-20","05:00:00","solo",167,9980,-9980,13,600,42.830382,0.325556
67856,"Persenk Ultra","PERSENK ULTRA","Asenovgrad","Bulgaria","2021-08-20","18:00:00","solo",164,7490,-7500,13,150,42.0133722,24.8784393
70469,"Runfire Salt Lake Ultra","100 Mile","ulukisla","Turkey","2021-08-20","18:00:00","solo",159.9,100,-100,12,0,37.546546,34.484256
66887,"Swiss Alps 100","160KM","Münster","Switzerland","2021-08-15","17:00:00","solo",159.9,9850,-9850,15,300,46.4864707,8.263164
67851,"Salomon Rondane 100","Salomon Rondane 100","Folldal","Norway","2021-08-14","07:00:00","solo",163.8,5460,-5460,5,0,62.1324425,9.9967889
68241,"Ultra Trail des Sources","160KM","Spa","Belgium","2021-08-14","07:00:00","solo",163.9,4630,-4660,8,200,50.49243,5.86432
70241,"Québec Mega Trail (QMT)","QMT-100-MILE","Beaupre","Canada","2021-08-13","22:00:00","solo",158.9,6410,-6240,13,120,47.048736,-70.887625
69945,"Bunketorp Backyard Ultra Trail","BBUT - 24 loops","LINDOME","Sweden","2021-08-07","10:00:00","solo",163.7,3100,-3100,23,100,57.5755218,12.0783006
67218,"Centurion North Downs Way 100","Centurion North Downs Way 100","farnham","United Kingdom","2021-08-07","06:00:00","solo",165.2,3130,-3170,13,300,51.214321,-0.798802
65713,"Beacons 50 & Beacons 100","Beacons 100","Brecon","United Kingdom","2021-08-06","20:00:00","Solo",164.8,7050,-7050,5,50,51.9489469,-3.391463
66425,"Iznik Ultra","160 K","Iznik","Turkey","2021-08-06","18:00:00","solo",149.4,2930,-3040,12,100,40.429524,29.719743
66003,"KAT100","KAT100miles","Fieberbrunn","Austria","2021-08-05","18:00:00","solo",173.9,9980,-9980,15,170,47.47559,12.5457457
71873,"Alpindustria Elbrus Race","ElbrusWorldRace","Terskol","Russia","2021-07-30","00:00:00","Solo",169.9,9010,-9010,0,120,43.2571143,42.513998
69219,"Burning River Endurance Run","Burning River 100 Mile","Hudson","United States","2021-07-24","04:00:00","solo",163.7,2700,-2700,14,250,42.2528649,-73.790959
68455,"The Gax 100 miles","The Gax 100 miles","Ystad","Sweden","2021-07-24","00:00:00","solo",162.3,1510,-1510,3,75,55.4295051,13.8200308
68575,"Terres Monviso","100 Miglia Monviso","Saluzzo","Italy","2021-07-23","21:00:00","solo",168.8,8380,-8380,17,300,44.6445404,7.4927355
67244,"Tahoe Rim Trail Endurance Runs 100M/50M/55K","100 Mile","Carsoncity","United States","2021-07-17","05:00:00","solo",161.1,6170,-6160,7,300,39.1637984,-119.7674034
68776,"Ultra Tour des 4 Massifs","Ut4M 160 Xtrem","Grenoble","France","2021-07-16","18:00:00","Solo",179.1,11290,-11350,17,0,45.188529,5.724524
67515,"Brisbane Trail Ultra","Brisbane Trail Ultra 100 mile","Brisbane","Australia","2021-07-10","02:00:00","solo",160.5,7580,-7610,7,50,-27.4704528,153.0260341
70168,"Centurion Wendover Woods 100","Wendover Woods 100","Wendover","United Kingdom","2021-07-09","08:00:00","solo",168,6610,-6600,19,120,51.761877,-0.739779
67118,"Elephant Trail Race","160 Km (100 Mile)","PortMacquarie","Australia","2021-07-09","20:00:00","solo",163.2,8650,-8630,13,100,-31.433333,152.9
67402,"NUTS Ylläs Pallas","160K","Äkäslompolo","Finland","2021-07-09","12:00:00","solo",164.3,4020,-4100,8,250,67.6039044,24.1567316
71066,"ULTRA 01","Ultra 01 170 KM","Oyonnax","France","2021-07-09","18:00:00","solo",174.9,7590,-7590,15,500,46.257773,5.655335
64191,"Val d’Aran by UTMB®","VDA","Vielha","Spain","2021-07-09","18:00:00","solo",162.9,10690,-10690,14,1500,42.7245643,0.7722974
69065,"Austria Backyard Ultra","24 LOOPS","Frankenmarkt","Austria","2021-07-03","09:00:00","solo",160.7,2570,-2570,24,200,47.9857697,13.4224
68416,"Western States Endurance Run","Western States Endurance Run","Auburn","United States","2021-06-26","05:00:00","solo",161,5850,-7360,20,369,32.6098566,-85.4807825
69919,"Jurassic Coast 100","Jurassic Coast 100M","Swanage","United Kingdom","2021-06-19","08:00:00","solo",168.2,4740,-4680,9,100,50.608277,-1.960769
68874,"Mohican 100 Trail Run","Mohican 100 Mile Trail Run","Loudonville","United States","2021-06-19","05:00:00","solo",158.9,3700,-3700,19,0,40.6353382,-82.2332144
68354,"Ultra Trail Gaspesia 100","100 miles","Percé","Canada","2021-06-19","05:00:00","solo",159,4130,-4130,21,40,47.1740891,-71.3677271
71777,"Oh Meu Deus","100 Milhas OMD","Seia","Portugal","2021-06-11","16:00:00","solo",159.2,7330,-7330,9,85,40.4161238,-7.7088512
69315,"Salomon Hengill Ultra-Trail ©","100miles","Hveragerdi","Iceland","2021-06-04","14:00:00","solo",161.7,5530,-5550,10,200,63.9994548,-21.1797206
64849,"The Arctic Triple Lofoten Ultra-Trail®","100 Miles","SVOLVÆR","Norway","2021-06-04","12:00:00","solo",165,7046,-7047,10,150,68.2343088,14.5682237
69395,"TransPenedaGerês","TPG 168k Race of the 4 Castles","Melgaço","Portugal","2021-06-03","16:00:00","solo",166.2,9360,-8540,6,0,40.7299182,-73.993174
63925,"Chester Ultra 50","Chester Ultra 100","chester","United Kingdom","2021-05-29","06:00:00","solo",167,1540,-1550,10,150,53.193392,-2.893075
67033,"Grand Trail Des Lacs Et Chateaux (GTLC)","GT160","Waimes","Belgium","2021-05-29","04:00:00","solo",165.3,6200,-6200,0,200,50.4148914,6.1115604
71209,"WHW & Ben Nevis Race","WHW & Ben Nevis Race","FortWilliam","United Kingdom","2021-05-29","11:00:00","solo",165.4,5110,-5080,9,30,56.819817,-5.1052179
66105,"Bryce Canyon","Bryce Canyon 100 Mile","Hatch","United States","2021-05-28","05:00:00","solo",157.1,4310,-4310,15,300,39.8559883,-122.6530548
66840,"Festiwal Biegowy ULTRA WAY","PORANEK NA PLAZY 160 km+","Rumia","Poland","2021-05-28","12:00:00","solo",163.3,3020,-3030,7,200,54.5626002,18.3935435
67410,"NUTS Karhunkierros","166K","Kuusamo","Finland","2021-05-28","14:00:00","solo",169.6,3910,-3940,7,250,65.9645876,29.1886651
68605,"Soria Moria til Verdens Ende","Soria Moria til Verdens Ende","VerdensEnde","Norway","2021-05-22","10:00:00","solo",163,4230,-4310,6,150,59.058307,10.4071349
71293,"Mac Mac Ultra","100m","Pretoria","South Africa","2021-05-21","12:00:00","solo",156.8,6300,-6540,14,0,-25.7478676,28.2292712
65183,"Ultra-Trail® Malopolska","UTM 170","KasinkaMala","Poland","2021-05-21","17:00:00","solo",171.8,8640,-8640,8,50,49.7034274,20.0350091
64771,"The Old Forest Hanmer 100","100mile","HanmerSprings","New Zealand","2021-05-14","10:00:00","solo",0,0,0,16,0,-42.5255877,172.8289005
66949,"Aktivitus Trailrace","Ultra-Trail®","Jonsered","Sweden","2021-05-13","20:00:00","solo",169.2,4060,-4060,9,50,57.7455944,12.1739021
67422,"Centurion Thames Path 100","Centurion Thames Path 100","London","United Kingdom","2021-05-08","09:00:00","solo",161.3,3210,-3160,13,300,51.5072178,-0.1275862
70708,"Hubert 100","Hubert 100M","Hawker","Australia","2021-05-08","10:00:00","solo",157.7,2430,-2430,8,150,-31.8873986,138.4227145
67736,"The Dales High Way","Dales High Way + High Cup Nick","Saltaire","United Kingdom","2021-05-08","08:30:00","solo",166.2,4430,-4380,8,200,53.8382402,-1.7896135
68042,"Gulag-100","Gulag-100","Litochoro","Greece","2021-05-07","12:00:00","solo",167.1,14260,-14260,4,40,40.1029473,22.5026117
70440,"100 miles of Beskid Wyspowy","100 miles of Beskid Wyspowy","Zalesie","Poland","2021-05-01","06:00:00","solo",164.5,6610,-6620,8,100,50.3093152,16.5853745
70255,"Bó Trail","Bó Trail 170K","yibin","China","2021-05-01","09:00:00","solo",161.7,8440,-8440,13,100,28.751836,104.643159
69334,"Yarikan100","Yarikan100","Ishikawa","Japan","2021-05-01","06:00:00","solo",164.7,8700,-8700,22,50,36.3260317,136.5289653
71184,"Sengenyama 100","4th Sengenyama 100 (mile)","Hayama","Japan","2021-04-24","05:00:00","solo",166.4,6110,-6110,8,50,35.2720328,139.5861763
70681,"Mt. Fuji 100 Mile Challenge","100 mile","Fuji","Japan","2021-04-23","11:00:00","solo",161.9,7340,-7380,4,80,38.5852312,-92.2520081
71704,"Tamba 100 Adventure Trail","Tamba 100 Adventure Trail","Tamba","Japan","2021-04-23","06:00:00","solo",162.7,9200,-9200,13,100,35.177132,135.0358419
69319,"Ultra-Trail® Drakensberg","UTD 160","Underberg","South Africa","2021-04-23","10:00:00","solo",171.6,5160,-6500,12,0,-29.7928766,29.4918178
69523,"Jiangnan 100 Mile","100Mile","Ningbo","China","2021-04-16","14:00:00","solo",161,7060,-7060,13,150,29.868336,121.54399
65403,"Zion","Zion 100","Virgin","United States","2021-04-10","05:00:00","solo",160.8,2830,-2880,15,250,35.953292,-116.5867039
68615,"Patagonia Run","100 Miles","SanMartinDeLosAndes","Argentina","2021-04-09","10:00:00","solo",163.7,8140,-8140,15,280,-40.1572103,-71.3524436
69758,"Ultra Trail Jinan","168km","jinan","China","2021-04-09","16:00:00","solo",161.5,10810,-10790,16,100,36.6512,117.120095
70118,"QLG168","QLG168","QUZHOU","China","2021-04-02","16:30:00","solo",168,10740,-10740,10,10,28.970079,118.859457
71992,"Antelope Island Buffalo Run","100 mile","Syracuse","United States","2021-03-26","10:00:00","Solo",162,2200,-2200,16,400,43.0481221,-76.1474244
68098,"Kullamannen 2021 Covid-19","Kullamannen 100 miles","Kullaberg","Sweden","2021-03-26","09:00:00","solo",163.6,1910,-1930,4,600,56.2959044,12.4682503
71140,"Northburn 100 Miler","100 Mile","Cromwell","New Zealand","2021-03-20","06:00:00","solo",161.4,9460,-9470,12,50,-45.0459401,169.1955689
68348,"UTTGN Sport HG | TARRAGONA","Gran Trail Catalunya","Tarragona","Spain","2021-03-05","22:00:00","solo",169.8,5160,-5160,13,50,41.1188827,1.2444909
64671,"Victoria 162","V162 Virtual","HongKong","Hong Kong, China","2021-02-27","00:00:00","solo",166.7,7700,-7700,0,200,22.3193039,114.1693611
